שם הספר,שנת הדפסה,מחבר,מקום הדפסה,קטגורייה,מקור,textFileURL,nikudMetegFileURL,OCRDataURL,ocrFeDir,שם הספר [אנגלית],קטגורייה [אנגלית],מחבר [אנגלית],מקום הדפסה [אנגלית],underwentBerelUnflagging,fileName
השיב משה אורח חיים,1866,רבי משה טייטלבוים,לעמבערג,"שו""ת",,https://files.dicta.org.il/heshivmosheorachchaim/heshivmosheorachchaim__text_files.zip,https://files.dicta.org.il/heshivmosheorachchaim/heshivmosheorachchaim__nikud_meteg_files.zip,https://files.dicta.org.il/heshivmosheorachchaim/heshivmosheorachchaim__ocr_data_html_files.zip,heshivmosheorachchaim,Heshiv Moshe Orach Chaim,Responsa,rabbi moshe teitelbaum,Lemberg,,heshivmosheorachchaim
השיב משה יורה דעה,1866,רבי משה טייטלבוים,לעמבערג,"שו""ת",,https://files.dicta.org.il/heshivmosheyorehdeah/heshivmosheyorehdeah__text_files.zip,https://files.dicta.org.il/heshivmosheyorehdeah/heshivmosheyorehdeah__nikud_meteg_files.zip,https://files.dicta.org.il/heshivmosheyorehdeah/heshivmosheyorehdeah__ocr_data_html_files.zip,heshivmosheyorehdeah,Heshiv Moshe Yoreh Deah,Responsa,rabbi moshe teitelbaum,Lemberg,,heshivmosheyorehdeah
חידוד הלכה,1930,"הלר, אריה בן פינחס משה",בילגורי,ספרי הלכה ומנהג,ספריית דיקטה,https://files.dicta.org.il/hidudhalakhah/hidudhalakhah__text_files.zip,https://files.dicta.org.il/hidudhalakhah/hidudhalakhah__nikud_meteg_files.zip,https://files.dicta.org.il/hidudhalakhah/hidudhalakhah__ocr_data_html_files.zip,hidudhalakhah,Hidud halakhah,Halachah and Minhagim,"Heller, Ary ben Pinhas Mosheh",Bilgoraj,,hidudhalakhah
הלכות נדה לרמב”ן,1911,רבי משה בן נחמן,ווילנא,ספרי הלכה ומנהג,ספריית דיקטה,https://files.dicta.org.il/hilkhotniddahramban/hilkhotniddahramban__text_files.zip,https://files.dicta.org.il/hilkhotniddahramban/hilkhotniddahramban__nikud_meteg_files.zip,https://files.dicta.org.il/hilkhotniddahramban/hilkhotniddahramban__ocr_data_html_files.zip,hilkhotniddahramban,Hilkhot Niddah (Ramban),Halachah and Minhagim,Moses ben Nachman,Wilna,,hilkhotniddahramban
אבן עזרא הקצר על שמות,1840,רבי אברהם בן מאיר אִבּן עזרא,פראג,"מפרשי התנ""ך",ספריית דיקטה,https://files.dicta.org.il/ibnezrahakatzar/ibnezrahakatzar__text_files.zip,https://files.dicta.org.il/ibnezrahakatzar/ibnezrahakatzar__nikud_meteg_files.zip,https://files.dicta.org.il/ibnezrahakatzar/ibnezrahakatzar__ocr_data_html_files.zip,ibnezrahakatzar_EGT,Ibn Ezra HaKatzar,Bible Commentaries,Abraham ben Meir Ibn Ezra,Prague,,ibnezrahakatzar
אגרת התשובה,1859,רבי יונה גירונדי,צ'רנוביץ,מחשבה ומוסר,ספריית דיקטה,https://files.dicta.org.il/iggerethateshuvah/iggerethateshuvah__text_files.zip,https://files.dicta.org.il/iggerethateshuvah/iggerethateshuvah__nikud_meteg_files.zip,https://files.dicta.org.il/iggerethateshuvah/iggerethateshuvah__ocr_data_html_files.zip,iggerethateshuvah,Iggeret haTeshuvah,Mussar and Jewish Thought,Jonah ben Abraham Gerondi,Chernovtsy,,iggerethateshuvah
אגרת שמואל,1895,רבי שמואל די אוזידא,מונקאטש,"מפרשי התנ""ך",,https://files.dicta.org.il/iggeretshmuel/iggeretshmuel__text_files.zip,https://files.dicta.org.il/iggeretshmuel/iggeretshmuel__nikud_meteg_files.zip,https://files.dicta.org.il/iggeretshmuel/iggeretshmuel__ocr_data_html_files.zip,iggeretshmuel,Iggeret Shmuel,Bible Commentaries,Rabbi Shmuel de Uzeda,Munkatch,,iggeretshmuel
איגרא רמה חלק א,1873,רבי משה משולם בן שמשון איגרא,למברג,"מפרשי הש""ס",ספריית דיקטה,https://files.dicta.org.il/igrahramah1/igrahramah1__text_files.zip,https://files.dicta.org.il/igrahramah1/igrahramah1__nikud_meteg_files.zip,https://files.dicta.org.il/igrahramah1/igrahramah1__ocr_data_html_files.zip,igrahramah1,Igrah Ramah part 1,Acharonim on Talmud_Bavli,Rabbi Moshe Meshulam ben Shimshon Igra,Lamberg,,igrahramah1
איגרא רמה חלק ב,1873,רבי משה משולם בן שמשון איגרא,למברג,"מפרשי הש""ס",ספריית דיקטה,https://files.dicta.org.il/igrahramah2/igrahramah2__text_files.zip,https://files.dicta.org.il/igrahramah2/igrahramah2__nikud_meteg_files.zip,https://files.dicta.org.il/igrahramah2/igrahramah2__ocr_data_html_files.zip,igrahramah2,Igrah Ramah part 2,Acharonim on Talmud_Bavli,Rabbi Moshe Meshulam ben Shimshon Igra,Lamberg,,igrahramah2
"עיקרי הד""ט יורה דעה",1895,רבי דניאל טירני,וילנה,מפרשים וחיבורים סביב שולחן ערוך,,https://files.dicta.org.il/ikarihadt/ikarihadt__text_files.zip,https://files.dicta.org.il/ikarihadt/ikarihadt__nikud_meteg_files.zip,https://files.dicta.org.il/ikarihadt/ikarihadt__ocr_data_html_files.zip,ikarihadt_EGT,Ikarei Hadat yoreh deah,Commentary on Shulchan Aruch,Daniel Tirani,Vilna,,ikarihadt
אמרי אש,1864,רבי מאיר אייזנשטטר (אייזנשטט),אונגואר,"שו""ת",,https://files.dicta.org.il/imreeshresponsa/imreeshresponsa__text_files.zip,https://files.dicta.org.il/imreeshresponsa/imreeshresponsa__nikud_meteg_files.zip,https://files.dicta.org.il/imreeshresponsa/imreeshresponsa__ocr_data_html_files.zip,imreeshresponsa,Imrei Aish Responsa,Responsa,Meir Eisenstadt,,,imreeshresponsa
אמרי בינה,1871,רבי מאיר אוירבך,ירושלים,"שו""ת",,https://files.dicta.org.il/imreibina/imreibina__text_files.zip,https://files.dicta.org.il/imreibina/imreibina__nikud_meteg_files.zip,https://files.dicta.org.il/imreibina/imreibina__ocr_data_html_files.zip,imreibina_EGT,Imrei Bina,Responsa,Meir Auerbach,Jerusalem,,imreibina
אמרי בינה חושן משפט,1871,הרב מאיר אוירבך,ירושלים,ספרי מערכות ועניינים,,https://files.dicta.org.il/imreibinachoshenmishpat/imreibinachoshenmishpat__text_files.zip,https://files.dicta.org.il/imreibinachoshenmishpat/imreibinachoshenmishpat__nikud_meteg_files.zip,https://files.dicta.org.il/imreibinachoshenmishpat/imreibinachoshenmishpat__ocr_data_html_files.zip,imreibinachoshenmishpat_EGT,Imrei Binah Choshen Mishpat,Chiddushim by Topic,Meir Aurbach,Jerusalem,,imreibinachoshenmishpat
אמרי בינה אורח חיים,1871,הרב מאיר אוירבך,ירושלים,ספרי מערכות ועניינים,,https://files.dicta.org.il/imreibinahorachchayim/imreibinahorachchayim__text_files.zip,https://files.dicta.org.il/imreibinahorachchayim/imreibinahorachchayim__nikud_meteg_files.zip,https://files.dicta.org.il/imreibinahorachchayim/imreibinahorachchayim__ocr_data_html_files.zip,imreibinahorachchayim_EGT,Imrei Binah Orach Chayim,Chiddushim by Topic,Meir Aurbach,Jerusalem,,imreibinahorachchayim
אמרי בינה יורה דעה,1871,הרב מאיר אוירבך,ירושלים,ספרי מערכות ועניינים,,https://files.dicta.org.il/imreibinahyorehdeah/imreibinahyorehdeah__text_files.zip,https://files.dicta.org.il/imreibinahyorehdeah/imreibinahyorehdeah__nikud_meteg_files.zip,https://files.dicta.org.il/imreibinahyorehdeah/imreibinahyorehdeah__ocr_data_html_files.zip,imreibinahyorehdeah_EGT,Imrei Binah Yoreh Deah,Chiddushim by Topic,Meir Aurbach,Jerusalem,,imreibinahyorehdeah
"אמרי נועם (הגר""א)",1899,רבי אליהו בן שלמה זלמן (הגאון מוילנא),ורשה,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/imreinoamhagra/imreinoamhagra__text_files.zip,https://files.dicta.org.il/imreinoamhagra/imreinoamhagra__nikud_meteg_files.zip,https://files.dicta.org.il/imreinoamhagra/imreinoamhagra__ocr_data_html_files.zip,imreinoamhagra,Imrei Noam Hagra,Acharonim on Talmud Bavli,Elijah ben Solomon Zalman,Warsaw,,imreinoamhagra
אמרי צדיקים,1896,"בורנשטין, מאיר בן מרדכי",ורשה,ספרי חסידות,ספריית דיקטה,https://files.dicta.org.il/imreitzadikim/imreitzadikim__text_files.zip,https://files.dicta.org.il/imreitzadikim/imreitzadikim__nikud_meteg_files.zip,https://files.dicta.org.il/imreitzadikim/imreitzadikim__ocr_data_html_files.zip,imreitzadikim,Imrei Tzadikim,Sifrei Chasidut,Meir Burnstein,Warsaw,,imreitzadikim
כפי אהרן - א,1874,ר' אהרן בן עזריאל,ירושלים,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/kapeaharon1responsa/kapeaharon1responsa__text_files.zip,https://files.dicta.org.il/kapeaharon1responsa/kapeaharon1responsa__nikud_meteg_files.zip,https://files.dicta.org.il/kapeaharon1responsa/kapeaharon1responsa__ocr_data_html_files.zip,kapeaharon1responsa,Sh u-t Kappei Aharon part 1,Responsa,"Azriel, Aharon",Jerusalem,,kapeaharon1responsa
כפי אהרן - ב,1874,ר' אהרן בן עזריאל,ירושלים,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/kapeaharon2responsa/kapeaharon2responsa__text_files.zip,https://files.dicta.org.il/kapeaharon2responsa/kapeaharon2responsa__nikud_meteg_files.zip,https://files.dicta.org.il/kapeaharon2responsa/kapeaharon2responsa__ocr_data_html_files.zip,kapeaharon2responsa,Sh u-t Kappei Aharon part 2,Responsa,"Azriel, Aharon",Jerusalem,,kapeaharon2responsa
"כפי אהרן - רמב""ם",1874,ר' אהרן בן עזריאל,ירושלים,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,https://files.dicta.org.il/kappeiaharonrambam/kappeiaharonrambam__text_files.zip,https://files.dicta.org.il/kappeiaharonrambam/kappeiaharonrambam__nikud_meteg_files.zip,https://files.dicta.org.il/kappeiaharonrambam/kappeiaharonrambam__ocr_data_html_files.zip,kappeiaharonrambam,Kappei Aharon Rambam,Commentaries on the Rambam,"Azriel, Aharon",Jerusalem,,kappeiaharonrambam
"כפי אהרן ש""ס",1874,ר' אהרן בן עזריאל,ירושלים,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/kappeiaharonshas/kappeiaharonshas__text_files.zip,https://files.dicta.org.il/kappeiaharonshas/kappeiaharonshas__nikud_meteg_files.zip,https://files.dicta.org.il/kappeiaharonshas/kappeiaharonshas__ocr_data_html_files.zip,kappeiaharonshas,Kappei Aharon shas,Acharonim on Talmud Bavli,"Azriel, Aharon",Jerusalem,,kappeiaharonshas
כפי אהרן - טור,1874,ר' אהרן בן עזריאל,ירושלים,מפרשי הטור,ספריית דיקטה,https://files.dicta.org.il/kappeiaharontur/kappeiaharontur__text_files.zip,https://files.dicta.org.il/kappeiaharontur/kappeiaharontur__nikud_meteg_files.zip,https://files.dicta.org.il/kappeiaharontur/kappeiaharontur__ocr_data_html_files.zip,kappeiaharontur,Kappei Aharon tur,Tur Commentaries,"Azriel, Aharon",Jerusalem,,kappeiaharontur
כפות תמרים,1861,רבי משה בן רבי שלמה אבן חביב,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/kappottemarim/kappottemarim__text_files.zip,https://files.dicta.org.il/kappottemarim/kappottemarim__nikud_meteg_files.zip,https://files.dicta.org.il/kappottemarim/kappottemarim__ocr_data_html_files.zip,kappottemarim_EGT,Kappot Temarim,Acharonim on Talmud Bavli,Moshe ben Shlomo Even Chaviv,Warsaw,,kappottemarim
קהלת משה,1906,הרב משה אליקים בריעה,לובלין,חסידות,,https://files.dicta.org.il/kehilatmoshe/kehilatmoshe__text_files.zip,https://files.dicta.org.il/kehilatmoshe/kehilatmoshe__nikud_meteg_files.zip,https://files.dicta.org.il/kehilatmoshe/kehilatmoshe__ocr_data_html_files.zip,kehilatmoshe,Kehilat Moshe,Chasidut,Moshe Elyakim Beriah,Lublin,,kehilatmoshe
"שו""ת כרך של רומי",1876,רבי ישראל משה חזן,ליוורנו,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/kerakhshelromi/kerakhshelromi__text_files.zip,https://files.dicta.org.il/kerakhshelromi/kerakhshelromi__nikud_meteg_files.zip,https://files.dicta.org.il/kerakhshelromi/kerakhshelromi__ocr_data_html_files.zip,kerakhshelromi,Kerakh shel Romi Responsa,Responsa,Israel Moses Hazan,Levorno,,kerakhshelromi
קרן אורה ברכות,1884,הרב יצחק מינקובסקי,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/kerenorahberakhot/kerenorahberakhot__text_files.zip,https://files.dicta.org.il/kerenorahberakhot/kerenorahberakhot__nikud_meteg_files.zip,https://files.dicta.org.il/kerenorahberakhot/kerenorahberakhot__ocr_data_html_files.zip,kerenorahberakhot,Keren Orah Berakhot,Acharonim on Talmud Bavli,Isaac Minkovski,Warsaw,,kerenorahberakhot
קרן אורה דיני טריפות,1884,הרב יצחק מינקובסקי,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/kerenorahdinitreifot/kerenorahdinitreifot__text_files.zip,https://files.dicta.org.il/kerenorahdinitreifot/kerenorahdinitreifot__nikud_meteg_files.zip,https://files.dicta.org.il/kerenorahdinitreifot/kerenorahdinitreifot__ocr_data_html_files.zip,kerenorahdinitreifot_EGT,Keren Orah Dini Treifot,Acharonim on Talmud Bavli,Isaac Minkovski,Warsaw,,kerenorahdinitreifot
קרן אורה עירובין,1884,הרב יצחק מינקובסקי,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/kerenoraheruvin/kerenoraheruvin__text_files.zip,https://files.dicta.org.il/kerenoraheruvin/kerenoraheruvin__nikud_meteg_files.zip,https://files.dicta.org.il/kerenoraheruvin/kerenoraheruvin__ocr_data_html_files.zip,kerenoraheruvin_EGT,Keren Orah Eruvin,Acharonim on Talmud Bavli,Isaac Minkovski,Warsaw,,kerenoraheruvin
קרן אורה הוריות,1884,הרב יצחק מינקובסקי,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/kerenorahhorayot/kerenorahhorayot__text_files.zip,https://files.dicta.org.il/kerenorahhorayot/kerenorahhorayot__nikud_meteg_files.zip,https://files.dicta.org.il/kerenorahhorayot/kerenorahhorayot__ocr_data_html_files.zip,kerenorahhorayot_EGT,Keren Orah Horayot,Acharonim on Talmud Bavli,Isaac Minkovski,Warsaw,,kerenorahhorayot
קרן אורה מעילה,1884,הרב יצחק מינקובסקי,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/kerenorahmeila/kerenorahmeila__text_files.zip,https://files.dicta.org.il/kerenorahmeila/kerenorahmeila__nikud_meteg_files.zip,https://files.dicta.org.il/kerenorahmeila/kerenorahmeila__ocr_data_html_files.zip,kerenorahmeila_EGT,Keren Orah Meila,Acharonim on Talmud Bavli,Isaac Minkovski,Warsaw,,kerenorahmeila
קרן אורה מנחות,1884,הרב יצחק מינקובסקי,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/kerenorahmenachot/kerenorahmenachot__text_files.zip,https://files.dicta.org.il/kerenorahmenachot/kerenorahmenachot__nikud_meteg_files.zip,https://files.dicta.org.il/kerenorahmenachot/kerenorahmenachot__ocr_data_html_files.zip,kerenorahmenachot_EGT,Keren Orah Menachot,Acharonim on Talmud Bavli,Isaac Minkovski,Warsaw,,kerenorahmenachot
קרן אורה מועד קטן,1884,הרב יצחק מינקובסקי,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/kerenorahmoedkatan/kerenorahmoedkatan__text_files.zip,https://files.dicta.org.il/kerenorahmoedkatan/kerenorahmoedkatan__nikud_meteg_files.zip,https://files.dicta.org.il/kerenorahmoedkatan/kerenorahmoedkatan__ocr_data_html_files.zip,kerenorahmoedkatan_EGT,Keren Moed Katan,Acharonim on Talmud Bavli,Isaac Minkovski,Warsaw,,kerenorahmoedkatan
קרן אורה נזיר,1884,הרב יצחק מינקובסקי,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/kerenorahnazir/kerenorahnazir__text_files.zip,https://files.dicta.org.il/kerenorahnazir/kerenorahnazir__nikud_meteg_files.zip,https://files.dicta.org.il/kerenorahnazir/kerenorahnazir__ocr_data_html_files.zip,kerenorahnazir_EGT,Keren Orah Nazir,Acharonim on Talmud Bavli,Isaac Minkovski,Warsaw,,kerenorahnazir
קרן אורה נדרים,1884,הרב יצחק מינקובסקי,ווילנא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/kerenorahnedarim/kerenorahnedarim__text_files.zip,https://files.dicta.org.il/kerenorahnedarim/kerenorahnedarim__nikud_meteg_files.zip,https://files.dicta.org.il/kerenorahnedarim/kerenorahnedarim__ocr_data_html_files.zip,kerenorahnedarim_EGT,Keren Orah nedarim,Acharonim on Talmud Bavli,Isaac Minkovski,Wilna,,kerenorahnedarim
