title,PubDate,pubPlace,compPlace,compDate,heShortDesc,order,heDesc
שבת הארץ, (1909 לספירה),ירושלים,יפו, (1909 לספירה),,,
שב שמעתתא, (1804 לספירה),למברג,, (1765 – 1805 לספירה בקירוב),,,
שמלה חדשה,,,,,,,חיבור מן המאה ה-18 שנחשב למדריך ההלכתי האשכנזי המובהק על הלכות שחיטה וטרפות.
טעמי המנהגים,,,,,,,
מאמר שפוני טמוני חול, (1887 לספירה),ורשה,, (1883 לספירה),,,"מאמר מאת הרב גרשון חנוך ליינר, האדמו""ר מראדזין (המכונה ""בעל התכלת""), המסכם כי ""דיונון הרוקחים"" (שם מדעי: Sepia officinalis) עונה על קריטריונים רבים של התכלת למצוות ציצית."
ערוך השולחן, (1884 – 1909 לספירה),,נבהרדק, (1865 – 1905 לספירה בקירוב),,,חיבור הלכתי מקיף לפי סדר ארבעת חלקי השולחן ערוך הכולל מקור של כל הלכה ממקורו בהתלמוד ועד הדיונים של הפוסקים האחרונים.
ערוך השולחן העתיד, (1938 – 1946 לספירה),תל אביב,נבהרדק, (1875 – 1905 לספירה בקירוב),,,
בן איש חי, (1898 לספירה),בגדד,"בגדד, עירק", (1894 – 1898 לספירה בקירוב),,,"ספר ה""בן איש חי"" הוא היצירה המפורסמת ביותר של החכם יוסף חיים. הספר הוא אוסף הלכות לענייני היום-יום, בליווי תובנות ומנהגים מיסטיים. הוא מיועד להמונים, ומסודר לפי סדר הפרשות השבועיות. התפוצה הרחבה של הספר הפכה אותו לכתובת סטנדרטית לבירור שאלות הלכתיות בעולם ההלכה הספרדי, והוא מתפקד כקיצור ל""שולחן ערוך"", בדומה למקבילתו האשכנזית, ה""קיצור שולחן ערוך""."
חיי אדם, (1810 לספירה),וילנה,וילנה, (1790 – 1810 לספירה בקירוב),,,"קיצור ההלכות הנהוגות בחיי היום-יום. 69 פרקים עוסקים בהלכות על סדר היום ועוד 155 פרקים בהלכות שבת וחגים. הספר נחשב לאחד הספרים ההלכתיים היסודיים באחרונים ומוזכר פעמים רבות בספרי האחרונים, ובפרט בספר משנה ברורה."
חכמת אדם, (1815 לספירה),וילנה,וילנה, (1795 – 1815 לספירה בקירוב),,,"קיצור הלכות מחלק יורה דעה בשו""ע, וקצת מחשן משפט ואבן העזר הנוגעים בחיי היום-יום."
באר מים חיים על חפץ חיים, (1873 לספירה),וילנה,ראדין, (1857 – 1873 לספירה בקירוב),,,"מראי מקומות והערות לחלק ההלכה של הספר חפץ חיים, הנקרא על ידי המחבר ""מקור חיים""."
בדק הבית על תורת הבית הארוך, (1605 לספירה),,"ברצלונה, ספרד", (1293 לספירה),,,
בינת אדם, (1815 לספירה),וילנה,וילנה, (1795 – 1815 לספירה בקירוב),,,"חלק העיונים של הספר ""חכמת אדם."""
ברית משה, (1905 לספירה),מוקצ'בו / מונקאטש,קישווארדה / קליינוורדיין, (1905 לספירה),,,"ביאור מקיף על 'ספר מצוות גדול' (סמ""ג)."
ברית עולם על ספר חסידים, (1789 לספירה),"ליבורנו, איטליה",, (1768 – 1792 לספירה בקירוב),,,
נשמת אדם, (1810 לספירה),וילנה,וילנה, (1800 – 1810 לספירה בקירוב),,,חלק העיונים מספר חיי אדם
"ביאור על ספר המצוות לרס""ג",,ורשה,, (1915 לספירה),,,"ביאור רחב על ספר המצוות לרס""ג."
עין יוסף על ספר המצוות, (1974 לספירה),"ירושלים, ישראל",,,,,
העמק שאלה על שאילתות דרב אחאי גאון, (1861 – 1867 לספירה),וילנה,, (1840 – 1860 לספירה בקירוב),,,באור רחב על השאלתות של רב אחאי גאון לר' נפתלי צבי יהודה ברלין.
הגהות חדשות על ספר מצוות קטן, (1805 לספירה),ליאדי ,, (1765 – 1805 לספירה בקירוב),,,
"הגהות הרד""ל על ספר הפרנס", (1891 לספירה),וילנה,, (1825 – 1855 לספירה בקירוב),,,
הגהות רבנו פרץ על ספר מצוות קטן, (1556 לספירה),קרמונה,, (1230 – 1290 לספירה בקירוב),,,"הגהות על ספר ""ספר מצוות קטן"" על ידי תלמיד של המחבר, רבינו פרץ מקורביל."
לשכת הסופר, (1866 לספירה),אונגוואר,אונגוואר, (1855 – 1865 לספירה בקירוב),,,
משמרת הבית על תורת הבית הארוך, (1739 לספירה),פראג,"ברצלונה, ספרד", (1293 לספירה),,,
נתיב חסד על אהבת חסד, (1877 לספירה),ורשה,ראדין, (1855 – 1875 לספירה בקירוב),,,
פירוש קדמון על ספר חסידים, (1723 – 1724 לספירה),,, (1660 – 1700 לספירה בקירוב),,,
"הגהות המו""ל על ספר הפרנס", (1891 לספירה),וילנה,, (1887 – 1891 לספירה בקירוב),,,
שאילת שלום על שאילתות דרב אחאי גאון, (1786 לספירה),דיהרנפורט,, (1764 – 1786 לספירה בקירוב),,,
תועפות ראם, (1891 לספירה),וילנה,מינסק, (1891 לספירה),,,"ביאור מקיף לספר יראים, חובר על ידי המו""ל הראשון של הספר השלם."
זוהר הרקיע, (1515 לספירה),קושטא / קונסטנטינה,אלג'יר, (1370 – 1430 לספירה בקירוב),,,
הלכות גדולות, (1548 לספירה),ונציה,בבל, (760 – 920 לספירה בקירוב),,,
קיצור שלחן ערוך, (1864 לספירה),אוז'הורוד,אוז'הורוד, (1844 – 1864 לספירה בקירוב),,,"""קיצור שולחן ערוך"" הוא סיכום של ה""שולחן ערוך"" של ר' יוסף קארו, עם התייחסות לפירושים מאוחרים יותר. הקיצור כותב באופן ברור ובלתי משתמע לשני פנים מה מותר ומה אסור. גאנצפריד הדגיש את מנהגי יהודי הונגריה בזמנו. החיבור נכתב באופן מוצהר כטקסט פופולרי, ותפוצתו הרחבה הפכה אותו לכתובת סטנדרטית לבירור שאלות הלכתיות, כאשר הוא מתפקד כקיצור ל""שולחן ערוך"", בדומה למקבילתו הספרדית, ה""בן איש חי."" גאנצפריד ביסס את פסיקותיו על שלושה סמכויות הלכתיות אשכנזיות: ר' יעקב לורברבוים, מחבר ""דרך החיים"", ר' שניאור זלמן מלאדי, מחבר ""שולחן ערוך הרב"", ור' אברהם דנציג, מחבר ה""חיי אדם"" וה""חכמת שלמה"". במקרים של מחלוקות בין פוסקים אלו פסק גאנצפריד לפי דעת הרוב. בימינו, ה""משנה ברורה"" תפסה את מקום ה""קיצור שולחן ערוך"" כמעט לחלוטין, וה""חיי אדם"" ו""ערוך השולחן"" הינם הסמכויות המרכזיות בנושאי חיי היום-יום בקרב יהודים אשכנזיים."
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות תפילה וברכת כהנים",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות תפילין ומזוזה וספר תורה",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות ביאת מקדש",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות עבודת יום הכפורים",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות איסורי ביאה",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות עבודה זרה וחוקות הגויים",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות יסודי התורה",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות דעות",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות תשובה",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות תלמוד תורה",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות אישות",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות סוטה",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות נזקי ממון",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות רוצח ושמירת נפש",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות מלכים ומלחמות",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות אבל",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות ממרים",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות סנהדרין והעונשין המסורין להם",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות חמץ ומצה",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות שבת",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות קידוש החודש",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מהר""ץ חיות על משנה תורה, הלכות שופר וסוכה ולולב",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות ציצית",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות תפילה וברכת כהנים",,,, (1825 – 1855 לספירה בקירוב),,,
"חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות קריאת שמע",,,, (1825 – 1855 לספירה בקירוב),,,
